"","KIT.ID.Number","Borough","Zipcode","Date.Collected","Received.Date","First.Draw.at.the.tap.Lead.level..µg.l.","Lead.1.2.Minute.Flush..mg.L.","Lead.5.Minute.Flush..mg.L.","First.Draw.at.the.tap.copper.level..mg.l.","Copper.1.2.Minute.Flush..mg.L.","Copper.5.minute.Flush..mg.L.","source"
"1",13220181,"NEW YORK",10128,"01/01/2014","01/08/2014",0,0,NA,0.051,0.095,NA,"free residential"
"2",13300298,"BROOKLYN",11205,"01/01/2014","01/08/2014",0,0,0,0.224,0.056,0,"free residential"
"3",13300297,"BROOKLYN",11205,"01/01/2014","01/08/2014",0,0,0,0.279,0.24,0.129,"free residential"
"4",13219471,"NEW YORK",10028,"01/01/2014","01/07/2014",0.007,0,NA,0.128,0.017,NA,"free residential"
"5",11211471,"LONG ISLAND CITY",11101,"01/01/2014","01/07/2014",0,0,NA,0.189,0.063,NA,"free residential"
"6",13220422,"WOODSIDE",11377,"01/02/2014","01/08/2014",0.008,0.001,NA,0.23,0.108,NA,"free residential"
"7",13220478,"BROOKLYN",11249,"01/02/2014","01/14/2014",0,0,NA,0.073,0.013,NA,"free residential"
"8",13220421,"NEW YORK",10024,"01/02/2014","01/07/2014",0.003,0.006,NA,0.112,0.218,NA,"free residential"
"9",13220351,"NEW YORK",10065,"01/03/2014","01/10/2014",0,0,NA,0.139,0.03,NA,"free residential"
"10",13220367,"BROOKLYN",11201,"01/04/2014","01/08/2014",0.003,0,NA,0.121,0.037,NA,"free residential"
"11",13220506,"NEW YORK",10021,"01/04/2014","01/13/2014",0.004,0,NA,0.144,0.026,NA,"free residential"
"12",13220509,"BROOKLYN",11205,"01/04/2014","01/13/2014",0,0,NA,0.242,0.23,NA,"free residential"
"13",13220322,"BROOKLYN",11205,"01/05/2014","01/08/2014",0.006,0,NA,0.139,0.021,NA,"free residential"
"14",13220510,"BROOKLYN",11223,"01/05/2014","01/17/2014",0,0,NA,0.126,0.065,NA,"free residential"
"15",13220396,"NEW YORK",10025,"01/05/2014","01/14/2014",0.001,0,NA,0.105,0.035,NA,"free residential"
"16",13220455,"BROOKLYN",11215,"01/06/2014","01/14/2014",0.085,0.012,NA,0.171,0.077,NA,"free residential"
"17",13219888,"WOODSIDE",11377,"01/06/2014","01/10/2014",0.007,0.001,NA,0.218,0.14,NA,"free residential"
"18",13220500,"BROOKLYN",11249,"01/06/2014","01/14/2014",0,0,NA,0.045,0.019,NA,"free residential"
"19",13220475,"NEW YORK",10009,"01/06/2014","01/10/2014",0,0,NA,0.125,0.032,NA,"free residential"
"20",13220466,"BROOKLYN",11201,"01/07/2014","01/14/2014",0.002,0,NA,0.119,0.019,NA,"free residential"
"21",14220530,"BROOKLYN",11230,"01/08/2014","01/14/2014",0.002,0,NA,0.147,0.019,NA,"free residential"
"22",13220443,"FRESH MEADOWS",11365,"01/08/2014","01/10/2014",0,0,NA,0.166,0.066,NA,"free residential"
