"","time_period","geo_area_name","children_rate","rate"
"1",2016,"Bayside - Little Neck",5.8,0
"2",2016,"Bedford Stuyvesant - Crown Heights",19.9,0.0714285714285714
"3",2016,"Bensonhurst - Bay Ridge",17.2,0.0909090909090909
"4",2016,"Borough Park",35,0.0769230769230769
"5",2016,"Canarsie - Flatlands",12.8,0
"6",2016,"Chelsea - Clinton",7.8,0
"7",2016,"Coney Island - Sheepshead Bay",22.2,0.0512820512820513
"8",2016,"Crotona -Tremont",13.4,0
"9",2016,"East Flatbush - Flatbush",22.1,0
"10",2016,"East New York",16.3,0
"11",2016,"Flushing - Clearview",7.7,0.101694915254237
"12",2016,"Fordham - Bronx Pk",17.5,0
"13",2016,"Fresh Meadows",7.7,0
"14",2016,"Gramercy Park - Murray Hill",3.4,0
"15",2016,"Greenpoint",51.9,0
"16",2016,"Greenwich Village - SoHo",10.6,0.5
"17",2016,"Jamaica",17.1,0.0731707317073171
"18",2016,"Kingsbridge - Riverdale",9,0
"19",2016,"Long Island City - Astoria",13.9,0
"20",2016,"Northeast Bronx",14.3,0
"21",2016,"Port Richmond",22.6,0.0952380952380952
"22",2016,"Ridgewood - Forest Hills",13.7,0.0576923076923077
"23",2016,"Rockaways",10.8,0.0588235294117647
"24",2016,"South Beach - Tottenville",7.6,0.0672268907563025
"25",2016,"Southeast Queens",13.1,0
"26",2016,"Southwest Queens",19.7,0.0652173913043478
"27",2016,"Stapleton - St. George",19,0.117647058823529
"28",2016,"Sunset Park",12.1,0
"29",2016,"Upper East Side",3.6,0.333333333333333
"30",2016,"West Queens",16.1,0.1
"31",2016,"Williamsburg - Bushwick",21.2,0
"32",2016,"Willowbrook",8.8,0.145454545454545
